N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
5287	PARMELIACEAE	Hypotrachyna	Hypotrachyna neoscytodes	Elix et al.		Sipman et al. 2009			Nativa	No Evaluada	Sipman 34519 (B, COL)		Andes	3500 m	3500 m	Cundinamarca	
5288	PARMELIACEAE	Hypotrachyna	Hypotrachyna paraphyscioides	Sipman					Nativa	No Evaluada			Andes	2880 m	2880 m	Magdalena	
5289	PARMELIACEAE	Parmotrema	Parmotrema fractum	(Hale) Hale	Parmelia fracta Hale, Parmelia latissima auct., Parmelia saccatiloba auct. non Taylor	Hale 1965, Sipman 1992a, Sipman 1999, Sipman et al. 2000			Nativa	No Evaluada	Florsch?tz 3977b (COL)		Andes	2300 m	3950 m	Boyac?, Cundinamarca	
5290	PARMELIACEAE	Relicina	Relicina colombiana	Elix & Sipman					Nativa	No Evaluada			Andes	3700 m	3700 m	Cundinamarca	
5291	PARMELIACEAE	Usnea	Usnea laevigata	Vain.		Alava 1988			Nativa	No Evaluada			Andes			Cundinamarca	
5292	PASSIFLORACEAE	Passiflora	Passiflora adulterina	L.f.		Escobar 1988b, Hern?ndez & Bernal 2000, Ocampo et al. 1974		Trepadora	Nativa	Preocupaci?n Menor	Idrobo 2755 (COL, HUA)	Tipo de Colombia	Andes	2600 m	3500 m	Boyac?, Cundinamarca, Quind?o	Cordillera Oriental
5293	PASSIFLORACEAE	Passiflora	Passiflora antioquiensis	H.Karst.		Killip 1938, Escobar 1988b, Hern?ndez & Bernal 2000		Trepadora	Nativa y cultivada	No Evaluada	Hno. Daniel 1916 (COL, US)	Tipo de Colombia	Andes	1800 m	2700 m	Antioquia, Boyac?, Caldas, Cundinamarca, Putumayo, Quind?o, Risaralda, Valle	Cordillera Central
5294	PASSIFLORACEAE	Passiflora	Passiflora apoda	Harms		Killip 1938, Hern?ndez & Bernal 2000, Hern?ndez 2003		Trepadora	Nativa	Preocupaci?n Menor	Maas 2077 (COL, GH, U)	Tipo de Colombia	Andes	2000 m	3000 m	Antioquia, Caldas, Cauca, Nari?o, Quind?o, Risaralda, Tolima, Valle	Cordilleras Central y Occidental
5295	PASSIFLORACEAE	Passiflora	Passiflora azeroana	L.Uribe		Killip 1938, Uribe 1955, Hern?ndez & Bernal 2000, Hern?ndez 2003, Ocampo et al. 1974		Trepadora	Nativa	Preocupaci?n Menor	Huertas 6745 (COL)	Tipo de Colombia	Andes	2500 m	3000 m	Boyac?, Cundinamarca, Huila, Santander	Cordilleras Oriental y Central
5296	PASSIFLORACEAE	Passiflora	Passiflora bicuspidata	(H.Karst.) Mast.	Distephana cuneata (Benth.) M.Roem., Tacsonia bicuspidata H.Karst., Tacsonia cuneata Benth.	Killip 1938, Hern?ndez & Bernal 2000, Hern?ndez 2003		Trepadora	Nativa	Preocupaci?n Menor	Uribe-Uribe 387 (COL)	Tipo de Colombia	Andes	2500 m	3500 m	Boyac?, Cundinamarca, Norte de Santander, Santander, Valle	Cordillera Oriental
