N	Familia	Genero	species	Autor	Sinonimos	Referencias	Taxones_infraespeceficos	Habito	Origen	Cat	Especimen_Representativo	Notas	Regiones_Biogeograficas	Elevacion_Minima	Elevacion_Maxima	Departamentos	Distribucion_global
1	ACANTHACEAE	Aphelandra	Aphelandra albert-smithii	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	McDade 998 (MO)	Tipo de Colombia	Valle del Magdalena	340 m	700 m	Antioquia, Santander	
2	ACANTHACEAE	Aphelandra	Aphelandra alexandri	Leonard		Leonard 1935, Leonard 1953a, Wasshausen 1975		Subarbusto	Nativa	No Evaluada	Lawrance 601 (K, MO)	Conocida solo del tipo	Andes	1219 m	1524 m	Boyac?	
3	ACANTHACEAE	Aphelandra	Aphelandra antioquiensis	Wassh.		Wasshausen 1989a		Hierba, Subarbusto	Nativa	No Evaluada	Callejas 4711 (HUA, MO)	Tipo de Colombia	Valle del Magdalena	300 m	820 m	Antioquia	
4	ACANTHACEAE	Aphelandra	Aphelandra arisema	Leonard		Leonard 1953a, Wasshausen 1975		Hierba, Subarbusto	Nativa	No Evaluada	Lozano 5066 (COL)	Tipo de Colombia	Pac?fico	0 m	230 m	Cauca, Nari?o	
5	ACANTHACEAE	Aphelandra	Aphelandra aristei	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Ariste-Joseph s.n. (US)	Tipo de Colombia	Andes	1500 m	1500 m	Cundinamarca	
6	ACANTHACEAE	Aphelandra	Aphelandra barkleyi	Leonard		Leonard 1953a, Wasshausen 1975		Subarbusto, Arbusto	Nativa	No Evaluada	Wood 5220 (COL)	Tipo de Colombia	Andes, Valle del Magdalena	170 m	1050 m	Antioquia, Cundinamarca, Meta, Tolima	
7	ACANTHACEAE	Aphelandra	Aphelandra blandii	Lindau		Lindau 1897, Leonard 1953a, Wasshausen 1975		Arbusto, Arbolito	Nativa	No Evaluada	Araque 1932 (COL?, US)	Tipo de Colombia	Andes	1230 m	2700 m	Antioquia, Cundinamarca, Valle	
8	ACANTHACEAE	Aphelandra	Aphelandra botanodes	Leonard		Leonard 1953a, Wasshausen 1975		Hierba	Nativa	No Evaluada	Triana s.n. (COL)	Conocida solo del tipo	Pac?fico	170 m	170 m	Choc?	
9	ACANTHACEAE	Aphelandra	Aphelandra boyacensis	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Cogollo 543 (JAUM, MO)	Tipo de Colombia	Andes, Valle del Magdalena	325 m	1524 m	Antioquia, Boyac?, Cundinamarca	
10	ACANTHACEAE	Aphelandra	Aphelandra chaponensis	Leonard	Aphelandra atecmarta Leonard	Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Lawrance 18 (MO, US)	Tipo de Colombia	Andes	780 m	2250 m	Antioquia, Boyac?, Cundinamarca	
11	ACANTHACEAE	Aphelandra	Aphelandra colombiensis	Leonard		Leonard 1953a, Wasshausen 1975		Subarbusto	Nativa	No Evaluada	Lehmann 7440 (K)	Tipo de Colombia	Andes	1700 m	2000 m	Caldas	
12	ACANTHACEAE	Aphelandra	Aphelandra conformis	Leonard		Leonard 1953a, Wasshausen 1975		Hierba	Nativa	No Evaluada	Andr? 1658 (K)	Tipo de Colombia	Andes	1700 m	1800 m	Cundinamarca	
13	ACANTHACEAE	Aphelandra	Aphelandra cuatrecasasii	Leonard	Aphelandra crauca Leonard	Leonard 1953a, Wasshausen 1975, Daniel & McPherson 2014		Hierba, Subarbusto, Arbusto	Nativa	No Evaluada	Gentry 24401 (COL)	Tipo de Colombia	Pac?fico	5 m	250 m	Antioquia, Choc?, Valle	
14	ACANTHACEAE	Aphelandra	Aphelandra diachyla	Leonard		Leonard 1958, Wasshausen 1975		Hierba	Nativa	No Evaluada	Triana s.n. (COL, K)	Conocida solo del tipo	Pac?fico	100 m	100 m	Choc?	
15	ACANTHACEAE	Aphelandra	Aphelandra euopla	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Cuatrecasas 20236 (US)	Conocida solo del tipo	Andes	3300 m	3320 m	Valle	
16	ACANTHACEAE	Aphelandra	Aphelandra fernandezii	Leonard		Leonard 1953a, Wasshausen 1975		Hierba, Arbusto	Nativa	No Evaluada	Fern?ndez 254 (COL, US)	Tipo de Colombia	Pac?fico	0 m	1800 m	Choc?	
17	ACANTHACEAE	Aphelandra	Aphelandra flava	Nees	Aphelandra anomala Leonard, Aphelandra fuscopunctata Markgr.	Leonard 1953a, Wasshausen 1975		Subarbusto, Arbusto	Nativa	No Evaluada	Rold?n 475 (HUA, MO, US)	Tipo de Colombia	Andes	500 m	1750 m	Antioquia, Cundinamarca, Huila, Valle	
18	ACANTHACEAE	Aphelandra	Aphelandra garciae	Leonard		Leonard 1953a, Wasshausen 1975		Subarbusto, Arbusto	Nativa	No Evaluada	Gentry 17259 (COL, MO)	Tipo de Colombia	Andes, Pac?fico	0 m	1150 m	Antioquia, Choc?	Cordillera Occidental
19	ACANTHACEAE	Aphelandra	Aphelandra grandis	Leonard	Aphelandra trichota Leonard	Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Shepherd 549 (HUA, MO)	Tipo de Colombia	Andes, Valle del Magdalena	100 m	1800 m	Antioquia, Cundinamarca, Meta, Santander	
20	ACANTHACEAE	Aphelandra	Aphelandra haughtii	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Cogollo 472 (JAUM, MO)	Tipo de Colombia	Valle del Magdalena	100 m	475 m	Antioquia, Santander	
21	ACANTHACEAE	Aphelandra	Aphelandra huilensis	Leonard	Odontophyllum huilensis (Leonard) Sreem.	Leonard 1953a, Wasshausen 1975		Subarbusto	Nativa	No Evaluada	Cuatrecasas 23462 (COL)	Tipo de Colombia	Andes	2250 m	2350 m	Cauca, Huila, Tolima	
22	ACANTHACEAE	Aphelandra	Aphelandra killipii	Leonard		Leonard 1953a, Wasshausen 1975, Daniel & McPherson 2014		Hierba, Subarbusto, Arbusto	Nativa		"Killip 35374 (HT: US	 IT: COL)"	Tipo de Colombia	Pac?fico	5 m	250 m	Choc?	O Colombia
23	ACANTHACEAE	Aphelandra	Aphelandra kingii	Wassh.		Wasshausen 1975		Subarbusto	Nativa	No Evaluada	King 6136 (HT: US)	Conocida solo del tipo	Amazonia	300 m	300 m	Putumayo	
24	ACANTHACEAE	Aphelandra	Aphelandra lamprantha	Leonard		Leonard 1958, Wasshausen 1975		Hierba	Nativa	No Evaluada	Idrobo 1270 (COL, US)	Tipo de Colombia	Guayana y Serran?a de La Macarena, Orinoquia	400 m	500 m	Casanare, Meta	
25	ACANTHACEAE	Aphelandra	Aphelandra lasia	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Garc?a-Barriga 11727 (COL, US)	Tipo de Colombia	Andes	800 m	2950 m	Cundinamarca, Magdalena, Santander, Tolima	
26	ACANTHACEAE	Aphelandra	Aphelandra lasiophylla	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Triana s.n. (COL)	Tipo de Colombia	Andes	500 m	1300 m	Antioquia	
27	ACANTHACEAE	Aphelandra	Aphelandra lawranceae	Leonard		Leonard 1935, Leonard 1953a, Wasshausen 1975		Hierba, Subarbusto	Nativa	No Evaluada	Lawrance 244 (US)	Tipo de Colombia	Andes	1080 m	2000 m	Antioquia, Boyac?, Cundinamarca, Risaralda	
28	ACANTHACEAE	Aphelandra	Aphelandra mildbraediana	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto, Arbolito	Nativa	No Evaluada	Hawkes 187 (COL)	Tipo de Colombia	Sierra Nevada de Santa Marta	1500 m	2000 m	Magdalena	
29	ACANTHACEAE	Aphelandra	Aphelandra mollis	(Nees) Leonard	Lagochilium molle Nees	Nees 1847, Leonard 1953a, Wasshausen 1975		Hierba	Nativa	No Evaluada	Haught 1497 (US)	Tipo de Colombia	Andes	100 m	500 m	Cundinamarca, Santander	
30	ACANTHACEAE	Aphelandra	Aphelandra parviflora	Leonard		Leonard 1935, Leonard 1953a, Wasshausen 1975		Hierba	Nativa	No Evaluada	Lawrance 201 (K, MO)	Conocida solo del tipo	Andes	1050 m	1050 m	Boyac?	
31	ACANTHACEAE	Aphelandra	Aphelandra pharangophila	Leonard	Aphelandra arborescens Leonard	Leonard 1953a, Wasshausen 1975		Arbusto, Arbolito	Nativa	No Evaluada	Cuatrecasas 18751 (COL)	Tipo de Colombia	Andes	1000 m	1650 m	Antioquia, Cauca, Quind?o, Valle	
32	ACANTHACEAE	Aphelandra	Aphelandra phlogea	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Cuatrecasas 25402 (COL, US)	Tipo de Colombia	Andes	800 m	1600 m	Magdalena	Sierra de Perij?
33	ACANTHACEAE	Aphelandra	Aphelandra pinarotricha	Leonard		Leonard 1958, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Garc?a-Barriga 17201 (COL, US)	Tipo de Colombia	Andes	800 m	2650 m	Cundinamarca	Cordillera Oriental
34	ACANTHACEAE	Aphelandra	Aphelandra porphyrocarpa	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto, Arbolito	Nativa	No Evaluada	"Rusby 891 (HT: NY	 IT: US)"	Tipo de Colombia	Andes	1800 m	2300 m	Huila, Quind?o	
35	ACANTHACEAE	Aphelandra	Aphelandra quadrifaria	Leonard		Leonard 1958, Wasshausen 1975		Hierba	Nativa	No Evaluada	Grant 9811 (HT: US)	Tipo de Colombia	Andes	850 m	1575 m	Antioquia, Cundinamarca, Meta	
36	ACANTHACEAE	Aphelandra	Aphelandra schieferae	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Triana s.n. (COL, P)	Tipo de Colombia	Andes	480 m	500 m	Meta	
37	ACANTHACEAE	Aphelandra	Aphelandra scolnikiae	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	Wood 5372 (COL)	Tipo de Colombia	Andes	1520 m	2500 m	Antioquia	Cordillera Central
38	ACANTHACEAE	Aphelandra	Aphelandra sericantha	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	"Triana s.n. (HT: K	 IT: COL, P)"	Conocida solo del tipo	Andes	1800 m	1800 m	Caldas	
39	ACANTHACEAE	Aphelandra	Aphelandra silvicola	Leonard		Leonard 1953a, Wasshausen 1975		Hierba	Nativa	No Evaluada	von Sneidern 923 (S)	Tipo de Colombia	Andes	800 m	800 m	Cauca	
40	ACANTHACEAE	Aphelandra	Aphelandra straminea	Leonard	Aphelandra hodgei Leonard, Aphelandra longispica Leonard	Leonard 1953a, Wasshausen 1975		Hierba, Subarbusto, Arbusto	Nativa	No Evaluada	Uribe 2998 (COL)	Tipo de Colombia	Valle del Magdalena	300 m	900 m	Antioquia, Cundinamarca, Santander, Tolima	
41	ACANTHACEAE	Aphelandra	Aphelandra taborensis	Leonard		Leonard 1953a, Wasshausen 1975		Arbolito	Nativa	No Evaluada	"Cuatrecasas 22284 (HT: US	 IT: COL)"	Conocida solo del tipo	Andes	1970 m	2100 m	Valle	
42	ACANTHACEAE	Aphelandra	Aphelandra tetroicia	Wassh.		Wasshausen 1989a		Subarbusto, Arbusto	Nativa	No Evaluada	"Hern?ndez 437 (HT: US	 IT: HUA)"	Tipo de Colombia	Valle del Magdalena	400 m	790 m	Antioquia	
43	ACANTHACEAE	Aphelandra	Aphelandra trianae	Leonard		Leonard 1953a, Wasshausen 1975		Subarbusto, Arbusto	Nativa	No Evaluada	"Triana s.n. (HT: K	 IT, COL)"	Conocida solo del tipo	Andes	3000 m	3150 m	Quind?o, Tolima	Cordillera Central
44	ACANTHACEAE	Aphelandra	Aphelandra xanthantha	Leonard		Leonard 1953a, Wasshausen 1975		Arbusto	Nativa	No Evaluada	"Uribe-Uribe 1862 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	2000 m	2200 m	Antioquia	Cordillera Central
45	ACANTHACEAE	Cyphacanthus	Cyphacanthus atopus	Leonard		Leonard 1953a		Arbusto	Nativa	No Evaluada	Lawrance 502 (HT: NY)	Tipo de Colombia	Valle del Magdalena	762 m	762 m	Boyac?	
46	ACANTHACEAE	Dicliptera	Dicliptera batilliformis	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Lawrance 258 (HT: NY	 IT: US)"	Conocida solo del tipo	Andes			Boyac?	
47	ACANTHACEAE	Dicliptera	Dicliptera caucensis	Leonard	Dicliptera conformis Leonard, Dicliptera driophila Leonard, Dicliptera killipii Leonard	Leonard 1958, Wood 1988		Hierba	Nativa	No Evaluada	P?rez-Arbel?ez 5977 (HT: US)	Tipo de Colombia	Andes	1700 m	2500 m	Cauca, Tolima, Valle	
48	ACANTHACEAE	Dicliptera	Dicliptera cleistogama	J.R.I.Wood		Wood 1988		Hierba	Nativa	No Evaluada	"Wood 4166 (HT: COL	 IT: FMB, K)"	Conocida solo del tipo	Andes	2200 m	2200 m	Boyac?	
49	ACANTHACEAE	Dicliptera	Dicliptera compacta	Leonard	Dicliptera columbiana Leonard, Dicliptera nanodes Leonard, Dicliptera rhombochlamys Leonard	Leonard 1958, Wood 1988		Hierba, Subarbusto	Nativa	No Evaluada	Wood 3985 (COL)	Tipo de Colombia	Andes	500 m	1600 m	Cundinamarca, Huila	
50	ACANTHACEAE	Dicliptera	Dicliptera cuatrecasasii	Leonard	Dicliptera sarcochroma Leonard	Leonard 1958, Wood 1988		Hierba	Nativa	No Evaluada	Cuatrecasas 18783 (HT: US)	Tipo de Colombia	Andes	500 m	1600 m	Valle	
51	ACANTHACEAE	Dicliptera	Dicliptera cundinamarcana	Wassh.		Wasshausen 1977, Wood 1988		Hierba	Nativa	No Evaluada	"Uribe-Uribe 4903 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	1800 m	1800 m	Cundinamarca	
52	ACANTHACEAE	Dicliptera	Dicliptera felix	J.R.I.Wood		Wood 1988		Subarbusto	Nativa	No Evaluada	"Wood 4708 (HT: COL	 IT: FMB, K)"	Conocida solo del tipo	Andes	1500 m	1500 m	Santander	Cordillera Oriental
53	ACANTHACEAE	Dicliptera	Dicliptera garciae	Leonard		Leonard 1958, Wood 1988		Subarbusto	Nativa	No Evaluada	"Cuatrecasas 9820 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	1700 m	2000 m	Boyac?	Cordillera Oriental
54	ACANTHACEAE	Dicliptera	Dicliptera haughtii	Leonard	Dicliptera koiei Leonard	Leonard 1958, Wood 1988		Subarbusto	Nativa	No Evaluada	"Haught 6179 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	2600 m	2700 m	Boyac?, Cundinamarca	
55	ACANTHACEAE	Dicliptera	Dicliptera megalochlamys	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Pennell 4499 (HT: NY)	Tipo de Colombia	Andes	800 m	1100 m	C?rdoba	Nudo de Paramillo
56	ACANTHACEAE	Dicliptera	Dicliptera ochrochlamys	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Garc?a-Barriga 5177 (HT: US	 T: COL)"	Conocida solo del tipo	Andes	500 m	500 m	Meta	
57	ACANTHACEAE	Dicliptera	Dicliptera sanctae-martae	Leonard		Leonard 1958, Wood 1988		Hierba	Nativa	No Evaluada	"Smith 1411 (HT: US	 IT: GH, K, MO, NY, S)"	Tipo de Colombia	Sierra Nevada de Santa Marta	1450 m	1450 m	Magdalena	
58	ACANTHACEAE	Dicliptera	Dicliptera saxicola	J.R.I.Wood		Wood 1988		Hierba	Nativa	No Evaluada	"Wood 4179 (HT: COL	 IT: FMB, K)"	Tipo de Colombia	Andes	1200 m	1200 m	Cundinamarca	
59	ACANTHACEAE	Dicliptera	Dicliptera scandens	Leonard	Dicliptera bogotensis Leonard, Dicliptera danielii Leonard, Dicliptera ewanii Leonard, Dicliptera hazenii Leonard, Dicliptera inamoena Leonard, Dicliptera sciaphila Leonard, Dicliptera uribei Leonard	Leonard 1958, Wood 1988		Subarbusto, Trepadora	Nativa	No Evaluada	Wood 5355 (COL, FMB, K)	Tipo de Colombia	Andes	1700 m	2500 m	Antioquia, Cundinamarca, Nari?o, Quind?o, Risaralda	
60	ACANTHACEAE	Dicliptera	Dicliptera trianae	Leonard		Leonard 1958, Wood 1988		Subarbusto	Nativa	No Evaluada	"Triana 4093.1-1 (HT: COL	 IT: K)"	Conocida solo del tipo	Andes	1000 m	1200 m	Cauca, Quind?o	
61	ACANTHACEAE	Justicia	Justicia aethes	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	"Haught 3632 (HT: US	 IT: COL)"	Conocida solo del tipo	Llanura del Caribe	200 m	300 m	Magdalena	
62	ACANTHACEAE	Justicia	Justicia albicans	J.R.I.Wood	Chaetothylax leucanthus Leonard	Leonard 1958, Wood 2009		Hierba	Nativa	No Evaluada	"Pennell 3985 (HT: NY	 IT: GH)"	Tipo de Colombia	Llanura del Caribe	100 m	300 m	Bol?var	
63	ACANTHACEAE	Justicia	Justicia amphibola	(Leonard) J.R.I.Wood	Jacobinia amphibola Leonard	Leonard 1958, Wood 2009		Subarbusto	Nativa	No Evaluada	Cuatrecasas 23467 (HT: US)	Tipo de Colombia	Andes	2100 m	2300 m	Cauca, Huila	
64	ACANTHACEAE	Justicia	Justicia anabasa	Leonard		Leonard 1958		Subarbusto, Arbusto, Liana	Nativa	No Evaluada	"Killip 16091 (HT: US	 IT: GH, NY)"	Conocida solo del tipo	Andes	2600 m	3000 m	Santander	
65	ACANTHACEAE	Justicia	Justicia archeri	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Archer 1640 (HT: US)	Tipo de Colombia	Andes	2000 m	2000 m	Antioquia	
66	ACANTHACEAE	Justicia	Justicia atacta	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	"Fosberg 21244 (HT: US	 IT: US)"	Tipo de Colombia	Pac?fico	100 m	100 m	Choc?, Nari?o	
67	ACANTHACEAE	Justicia	Justicia aurantiaca	Leonard		Leonard 1958		Subarbusto, Arbusto	Nativa	No Evaluada	Grant 9341 (HT: US)	Tipo de Colombia	Andes	2135 m	2200 m	Cundinamarca	
68	ACANTHACEAE	Justicia	Justicia axiologa	(Leonard) J.R.I.Wood	Jacobinia axiologa Leonard	Leonard 1958, Wood 2009		Hierba	Nativa	No Evaluada	Hodge 6511 (COL)	Tipo de Colombia	Valle del Magdalena	200 m	700 m	Antioquia, Santander	Magdalena Medio
69	ACANTHACEAE	Justicia	Justicia bracteosa	(Mildbr.) Leonard	Beloperone bracteosa Mildbr.	Mildbraed 1930, Leonard 1958		Subarbusto, Arbusto, Arbolito	Nativa	No Evaluada	Gentry 34786A (COL, MO)	Tipo de Colombia	Llanura del Caribe, Sierra Nevada de Santa Marta	20 m	1000 m	Atl?ntico, Bol?var, Magdalena, Santander, Sucre	
70	ACANTHACEAE	Justicia	Justicia cabrerae	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Schultes 12701 (HT: US)	Tipo de Colombia	Amazonia, Guayana y Serran?a de La Macarena	200 m	300 m	Vaup?s	
71	ACANTHACEAE	Justicia	Justicia chaetocephala	(Mildbr.) Leonard	Beloperone chaetocephala Mildbr.	Mildbraed 1930, Leonard 1958		Subarbusto, Arbusto, Trepadora	Nativa	No Evaluada	Romero-Casta?eda 11207 (COL)	Tipo de Colombia	Llanura del Caribe, Sierra Nevada de Santa Marta	300 m	1350 m	Bol?var, Magdalena, Sucre	
72	ACANTHACEAE	Justicia	Justicia chaponensis	Leonard		Leonard 1958, Wood 1988		Hierba	Nativa	No Evaluada	"Lawrance 60 (HT: US	 IT: GH)"	Tipo de Colombia	Andes	1100 m	1100 m	Boyac?, Santander	Cordillera Oriental
73	ACANTHACEAE	Justicia	Justicia charadrophila	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	Idrobo 1079 (HT: US)	Tipo de Colombia	Guayana y Serran?a de La Macarena	1300 m	1900 m	Meta	Serran?a de La Macarena
74	ACANTHACEAE	Justicia	Justicia chrysea	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Cuatrecasas 13731 (HT: US)	Conocida solo del tipo	Pac?fico	300 m	350 m	Valle	
75	ACANTHACEAE	Justicia	Justicia chrysocoma	Leonard		Leonard 1958		Arbusto	Nativa	No Evaluada	"Killip 16797 (HT: US	 IT: GH, NY)"	Tipo de Colombia	Andes	800 m	2000 m	Cesar, Santander	
76	ACANTHACEAE	Justicia	Justicia columbiensis	(Leonard) V.A.W.Graham	Chaetochlamys columbiensis Leonard	Leonard 1958, Graham 1988		Subarbusto	Nativa	No Evaluada	"Haught 2414 (HT: US	 IT: COL)"	Tipo de Colombia	Valle del Magdalena	350 m	500 m	Cundinamarca, Tolima	
77	ACANTHACEAE	Justicia	Justicia croceochlamys	Leonard		Leonard 1958		Hierba, Subarbusto	Nativa	No Evaluada	"Cuatrecasas 7383 (HT: US	 IT: COL)"	Tipo de Colombia	Amazonia, Guayana y Serran?a de La Macarena	240 m	1000 m	Casanare, Guaviare, Meta	
78	ACANTHACEAE	Justicia	Justicia cuatrecasasii	Wassh.		Wasshausen 1989a		Arbusto	Nativa	No Evaluada	"Zarucchi 2101 (HT: US	 IT: COL)"	Conocida solo del tipo	Amazonia	150 m	200 m	Vaup?s	
79	ACANTHACEAE	Justicia	Justicia cystolithosa	Leonard		Leonard 1958		Hierba, Subarbusto	Nativa	No Evaluada	"Idrobo 825 (HT: US	 IT: COL)"	Tipo de Colombia	Guayana y Serran?a de La Macarena	500 m	1300 m	Meta	Serran?a de La Macarena
80	ACANTHACEAE	Justicia	Justicia daidalea	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Haught 1581 (HT: US)	Conocida solo del tipo	Valle del Magdalena	100 m	500 m	Santander	
81	ACANTHACEAE	Justicia	Justicia enarthrocoma	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	Grant 10900 (HT: US)	Conocida solo del tipo	Andes	1250 m	1250 m	Cesar	Sierra de Perij?
82	ACANTHACEAE	Justicia	Justicia erythrantha	Leonard		Leonard 1958, Wood 1988		Subarbusto	Nativa	No Evaluada	"Killip 38284 (HT: US	 IT: COL)"	Tipo de Colombia	Andes, Valle del Magdalena	300 m	2000 m	Boyac?, Cundinamarca, Tolima	
83	ACANTHACEAE	Justicia	Justicia fuchsiifolia	Leonard		Leonard 1958, Wood 1988		Arbusto, Liana	Nativa	No Evaluada	"Cuatrecasas 12511 (HT: US	 IT: COL)"	Tipo de Colombia	Andes	1800 m	2400 m	Boyac?, Norte de Santander	Cordillera Oriental
84	ACANTHACEAE	Justicia	Justicia fusagasugana	Leonard		Leonard 1958, Wood 1988		Hierba	Nativa	No Evaluada	Wood 4106 (COL)	Tipo de Colombia	Andes	500 m	1800 m	Cundinamarca	Cordillera Oriental
85	ACANTHACEAE	Justicia	Justicia graphophylla	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Pennell 4500 (HT: NY)	Conocida solo del tipo	Andes	800 m	1200 m	C?rdoba	Cordillera Occidental, Parque Nacional Paramillo
86	ACANTHACEAE	Justicia	Justicia gutierrezii	Leonard		Leonard 1958		Arbolito	Nativa	No Evaluada	"Guti?rrez 606 (HT: US	 IT: CUVC)"	Conocida solo del tipo	Guayana y Serran?a de La Macarena	400 m	400 m	Caquet?	Serran?a de Chiribiquete
87	ACANTHACEAE	Justicia	Justicia haughtii	(Leonard) J.R.I.Wood	Chaetothylax haughtii Leonard	Leonard 1958, Wood 2009		Hierba	Nativa	No Evaluada	"Haught 3775 (HT: US	 IT: COL)"	Conocida solo del tipo	Andes	500 m	500 m	Cesar	Serran?a de Perij?
88	ACANTHACEAE	Justicia	Justicia helonoma	Leonard		Leonard 1958		Arbusto	Nativa	No Evaluada	Haught 1754 (HT: US)	Tipo de Colombia	Valle del Magdalena	100 m	700 m	Santander	
89	ACANTHACEAE	Justicia	Justicia hodgei	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	"Hodge 6504 (HT: GH	 IT: COL, MEDEL)"	Tipo de Colombia	Valle del Magdalena	300 m	400 m	Santander	
90	ACANTHACEAE	Justicia	Justicia homoea	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	"Haught 4565 (HT: US	 IT: US)"	Conocida solo del tipo	Pac?fico	50 m	50 m	Antioquia	Urab?
91	ACANTHACEAE	Justicia	Justicia huilensis	(Leonard) J.R.I.Wood	Chaetothylax huilensis Leonard, Chaetothylax umbrosus Nees	Leonard 1958, Wood 2009		Hierba	Nativa	No Evaluada	"Rusby 486 (HT: US	 IT: GH, NY)"	Tipo de Colombia	Andes	460 m	1500 m	Huila	
92	ACANTHACEAE	Justicia	Justicia hyperdasya	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Cuatrecasas 7536 (HT: COL)	Tipo de Colombia	Amazonia	240 m	240 m	Guaviare	
93	ACANTHACEAE	Justicia	Justicia jacobinioides	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Kalbreyer 1043 (HT: K)	Conocida solo del tipo	Andes	1000 m	2000 m	Norte de Santander	
94	ACANTHACEAE	Justicia	Justicia killipii	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	Killip 35469 (HT: US)	Tipo de Colombia	Pac?fico	0 m	75 m	Choc?, Valle	
95	ACANTHACEAE	Justicia	Justicia kirkbridei	Wassh.		Wasshausen 1989a		Trepadora	Nativa	No Evaluada	Kirkbride 2239 (US)	Conocida solo del tipo	Sierra Nevada de Santa Marta	1800 m	1800 m	Magdalena	
96	ACANTHACEAE	Justicia	Justicia leptochlamys	Leonard		Leonard 1958, Wood 1988		Hierba	Nativa	No Evaluada	G?mez 336 (HUA, MO)	Tipo de Colombia	Andes, Pac?fico	0 m	800 m	Choc?, C?rdoba	
97	ACANTHACEAE	Justicia	Justicia leucerythra	Leonard		Leonard 1958		Hierba, Subarbusto	Nativa	No Evaluada	"Haught 6729 (HT: US	 IT: COL)"	Tipo de Colombia	Llanura del Caribe	70 m	200 m	Atl?ntico, Cesar, Magdalena	
98	ACANTHACEAE	Justicia	Justicia littoralis	J.R.I.Wood	Jacobinia lindaviana Rusby	Rusby 1920, Wood 2009		Arbusto	Nativa	No Evaluada	Smith 2821 (HT: NY)	Conocida solo del tipo	Llanura del Caribe	10 m	10 m	Magdalena	
99	ACANTHACEAE	Justicia	Justicia macarenensis	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Philipson 1578 (HT: US	 IT: BM, COL)"	Tipo de Colombia	Guayana y Serran?a de La Macarena	450 m	770 m	Meta	
100	ACANTHACEAE	Justicia	Justicia magdalenensis	J.R.I.Wood	Justicia disparifolia J.R.I.Wood	Wood 1988, Wood 2009		Hierba, Subarbusto	Nativa	No Evaluada	Wood 4951 (COL)	Tipo de Colombia	Valle del Magdalena	300 m	1100 m	Cundinamarca, Santander, Tolima	
101	ACANTHACEAE	Justicia	Justicia malacophylla	Leonard		Leonard 1958		Arbusto	Nativa	No Evaluada	"Cuatrecasas 20941 (HT: US	 IT: VALLE)"	Conocida solo del tipo	Andes	2170 m	2170 m	Valle	Cordillera Central
102	ACANTHACEAE	Justicia	Justicia namatophila	Leonard		Leonard 1958		Subarbusto	Nativa	No Evaluada	Haught 2135 (HT: US)	Tipo de Colombia	Valle del Magdalena	330 m	770 m	Antioquia, Caldas	
103	ACANTHACEAE	Justicia	Justicia neurochlamys	Leonard		Leonard 1958		Hierba	Nativa	No Evaluada	"Garc?a-Barriga 14096 (HT: US	 IT: COL)"	Tipo de Colombia	Amazonia	250 m	280 m	Amazonas	
