species	Nombre_Esp	Nombre_Ing	Cat.	Paises	Region	Fuente
Glaucidium nubicola	Buh?to Nub?cola	Cloud-forest Pygmy-Owl	CE	E1	B3	55
Nyctiphrynus rosenbergi	Guardacaminos Chocoano	Choco Poorwill	CE	E1	A3	20
Caprimulgus heterurus	Guardacaminos de Todd	Todd's Nightjar	II	V3, V5, V6	A1,B1,B2	94
Cypseloides cherriei	Vencejo cuatro ojos	Spot-fronted Swift	II	Cr, V6, E2, E3	B7	26, 86, 106, 148
Cypseloides lemosi	Vencejo Pechiblanco	White-chested Swift	II	E3	B4a	33, 50, 101, 118
Phaethornis anthophilus	Ermita?o Carinegro	Pale-bellied Hermit	EI	V2, V3, V5, V6, P	A1,A2,A5,A6,A7,B1,B2,B5,B6,B7,B8, A3,B3	49, 134
Phaethornis yaruqui	Ermita?o del Pacifico	White-whiskered Hermit	CE	E1, P	A3,B3	
Androdon aequatorialis	Colibri dentado	Tooth-billed Hummingbird	CE	E1, P	A3,A2	
Heliangelus exortis	Heli?ngelus belicosos	Tourmaline Sunangel	CE	E2, E3	C3,C4,C5	
Aglaiocercus coelestis	Silfo violeta	Violet-tailed Sylph	CE	E1	A3,B3	
Chalcostigma heteropogon	Pico de Tuna bronc?neo	Bronze-tailed Thornbill	CE	V4	C5	
Chalcostigma herrani	Pico de Tuna Arcoiris	Rainbow-bearded Thornbill	EI	E2, Pe2	C3,C4	
Oxypogon guerinii	Barbudito paramuno	Bearded Helmetcrest	CE	V4	C1,C4,C5	
Metallura iracunda	Metaluta de Perij?	Perija Metaltail	CE	V2	B2,C2	
Metallura williami	Metalura Verde	Viridian Metaltail	EI	E2	C3,C4	8, 71, 83, 105, 149
Haplophaedia aureliae	Helechero com?n	Greenish Puffleg	CE	P, E3	B3,C3,C4,C5	
Haplophaedia lugens	Helechero del Pac?fico	Hoary Puffleg	CE	E1	B3	11
Eriocnemis derbyi	Paramero Rabihorcado	Black-thighed Puffleg	CE	E2	C4	
Eriocnemis godini	Paramero Turquesa	Turquoise-throated Puffleg	II	E2	C4	8
Eriocnemis cupreoventris	Paramero cobrizo	Coppery-bellied Puffleg	CE	E2	C5	
Eriocnemis mosquera	Paramero ?ureo	Golden-breasted Puffleg	CE	E2	B3,C3,C4	4, 45, 71
Coeligena wilsoni	Inca Pardo	Brown Inca	CE	E1	A3,B3	
Coeligena bonapartei	Inca Dorado	Golden-bellied Starfrontlet	CE	V2,V4	C2,C5	5, 49
Coeligena helianthea	Inca ventrirrojo	Blue-throated Starfrontlet	CE	V2,V4	B2,C2,C5	
Coeligena lutetiae	Inca Soldado	Buff-winged Starfrontlet	EI	E2, Pe2	C4	
Boissonneaua jardini	Colibri alirrufo	Velvet-purple Coronet	CE	E2	A3,B3	
Urochroa bougueri	Colibri nag?iblanco	White-tailed Hillstar	CE	E1, E2, Pe3	B3,B8b,C3,C5	
Urosticte benjamini	Colibri de Gargantilla	Purple-bibbed Whitetip	CE	E1, E2	A3,B3	
Heliodoxa imperatrix	Heliodoxa tijereta	Empress Brilliant	CE	E1	B3,A3	
Chaetocercus heliodor	Zumbador de gorgera	Gorgeted Woodstar	CE	V4, E2	B1,C1	
Calliphlox mitchellii	Zumbador Pechiblanco	Purple-throated Woodstar	CE	P, E1	B3,B4a,A3	
Chlorostilbon melanorhynchus	Esmeralda occidental	Western Emerald	CE	E2	A3,B3,B4a	
Chlorostilbon gibsoni	Esmeralda piquirroja	Red-billed Emerald	CE	V1, V2, V3, V4	A1,A2,A5,A6,B6,B7	
Chlorostilbon russatus	Esmeralda Cobriza	Coppery Emerald	CE	V2	B1,A1,B2	
Chlorostilbon stenurus	Esmeralda Cabecidorada	Narrow-tailed Emerald	EI	V4	B8	
Chlorostilbon poortmani	Esmeralda Rabicorta	Short-tailed Emerald	CE	V4	A5,B6,B7,B8a,C5	
Campylopterus falcatus	Ala de sable violeta	Lazuline Sabrewing	CE	V2, V4, V6, E2	A2,B1,B2,B4a,B5, B6,B7,B8,C4	4, 8, 33, 48, 49, 59, 137
Chalybura urochrysia	Colibr? Colibronc?neo	Bronze-tailed Plumeleteer	EI	Cr, P, E1, Ni, Ho	A2,A3	9, 123
Thalurania fannyi	Ninfa frenteverde	Green-crowned Woodnymph	CE	P, E1	B3,B4	
Amazilia amabilis	Amazilia Pechiazul	Blue-chested Hummingbird	EI	Ni, Cr, P, E1	A2,A3,A5,B5,B6,B7	33, 49, 77, 105, 136
Amazilia rosenbergi	Amazilia Chocoano	Purple-chested Hummingbird	CE	E1	A3	
Amazilia saucerrottei	Amazilia Coliazul	Steely-vented Hummingbird	CE	Cr, P, V2, V3, V4	A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B6,B7	4, 49, 105, 137
Goethalsia bella	Colibr? Pirre?o	Pirre Hummingbird	II	P	A2,A3,B9	
Goldmania violiceps	Goldmani Violeta	Violet-capped Hummingbird	II	P	A2,B9	
Lepidopyga coeruleogularis	Colibr? Zafirino	Sapphire-throated Hummingbird	CE	P	A1,A2,A3	10, 53
Lepidopyga goudoti	Colibri de Goudot	Shining-green Hummingbird	CE	V1, V2, V3	A1,A2,A5,B8a	
Damophila julie	Dam?fila Pechiverde	Violet-bellied Hummingbird	CE	P, E1, Pe1	A1,A2,A3,A5,B5,B6,B7	8, 49, 53, 77, 105, 136
Hylocharis humboldtii	Zafiro de Humboldt	Humboldt's Sapphire	CE	P, E1	A3	
Hylocharis grayi	Zafiro Cabeciazul	Blue-headed Sapphire	CE	E2	A4,B4,B3a	
Trogon comptus	Trog?n Coliazul	Blue-tailed Trogon	CE	E1	A2,A3,B3	
Trogon chionurus	Trog?n Coliblanco	White-tailed Trogon	CE	P, E1	A2,A3	
Brachygalba salmoni	Jacamar de Salmon	Dusky-backed Jacamar	CE	P	A2	
Notharchus pectoralis	Bobo Pechinegro	Black-breasted Puffbird	CE	E1, P	A2,A3	
Nystalus radiatus	Bobo Barrado	Barred Puffbird	CE	E1, P	A2,A3,A5	
Nonnula frontalis	Monjita Canela	Gray-cheeked Nunlet	CE	P	A1,A2	
Hapaloptila castanea	Monjita Cariblanca	White-faced Nunbird	EI	E3, Pe3	B3	51
Capito maculicoronatus	Torito Cabeciblanco	Spot-crowned Barbet	CE	P	A2,A3	
Capito quinticolor	Torito Multicolor	Five-colored Barbet	CE	E1	A3	
Semnornis ramphastinus	Comp?s	Toucan Barbet	CE	E1, E2	B3,B4a	
Ramphastos brevis	Tuc?n del Pac?fico	Choco Toucan	CE	E1, P	A3	
Aulacorhynchus haematopygus	Tucancito Rabirrojo	Crimson-rumped Toucanet	CE	E1, E2, V2, V4	B2,B3,B4,B8	
Andigena nigrirostris	Terlaque Pechiazul	Black-billed Mountain-Toucan	CE	E2,  V4	B3,B4,B6,B8,C3,C4,C5	
Picumnus pumilus	Carpinterito del Orinoco	Orinoco Piculet	CE	V5, Br	A8,A7	2, 88, 98, 143
Picumnus cinnamomeus	Carpinterito Casta?o	Chestnut Piculet	CE	V1, V3	A1,A2	120
