species	Nombre_Esp	Nombre_Ing	Cat.	Paises	Region	Fuente
Cotinga nattererii	Cotinga Azul	Blue Cotinga	CE	E1, P, V3	A2,A3	
Carpodectes hopkei	Cotinga Blanca	Black-tipped Cotinga	CE	E1, P	A3,B3	
Corapipo leucorrhoa	Saltar?n Gorgiblanco	White-bibbed Manakin	CE	P, V2, V3, V5	A2,A3,A6,B2,B4a, B5,B7,B8a	24, 49
Machaeropterus deliciosus	Saltar?n Rel?mpago	Club-winged Manakin	CE	E1	A3,B3	39
Xenopipo flavicapilla	Saltar?n Dorado	Yellow-headed Manakin	CE	E1	B3,B4,B5,B6,B7, B8b	14, 42, 43, 105, 
Schiffornis stenothyncha	Saltar?n Alirufo	Rufous-winged Schiffornis	CE	P, V2, V3	B5,B7,B9	102
Pachyramphus homochrous	Cabez?n Carbonero	One-colored Becard	CE	P, V2, V3, E1, E2, Pe1	A1,A2,A3	
Cyclarhis nigrirostris	Verder?n Piquinegro	Black-billed Peppershrike	CE	E2	B3,B4,B5,B6,B7, B8b,C3,C4,C5	
Vireolanius eximius	Verder?n Cejiamarillo	Yellow-browed Shrike-Vireo	CE	P, V2, V4	A1,A2,A3,A6,B2,B5,B7,B8a	
Vireo masteri	Verder?n Chocoano	Choco Vireo	CE	E2	B3	
Hylophilus semibrunneus	Verder?n Casta?o	Gray-chested Greenlet	CE	E3, V2	B2,B3,B4,B5,B6,B7	
Cyanolyca armillata	Urraca de Collar Negro	Black-collared Jay	CE	E2, V4	B7,B5,B6,B8,C4,C5	
Cyanolyca pulchra	Urraca Chocoana	Beautiful Jay	CE	E1	B3,C3	
Cyanocorax affinis	Carriqui Pechiblanco	Black-chested Jay	CE	Cr, P, V1, V2, V3	A1,A2,A3,A6,B1,B2,B3,B5,B7	33, 145, 149
Campylorhynchus albobrunneus	Cucarachero Cabeciblanco	White-headed Wren	CE	P	A2,A3,B3	
Pheugopedius spadix	Cucarachero Cabecinegro	Sooty-headed Wren	CE	P	A3,A4,B3,B5,B7,B9	
Pheugopedius fasciatoventris	Cucarachero Ventrinegro	Black-bellied Wren	CE	Cr, P	A1,A2,A3,A5	
Pheugopedius mystacalis	Cucarachero Bigotudo Andino	Whiskered Wren	CE	E1, V2, V4, V6	B2,B3,B4,B5,B6,B7,B8	
Cantorchilus leucopogon	Cucarachero Chocoano	Stripe-throated Wren	CE	P, E1	A2,A3	
Cinnycerthia unirufa	Cucarachero Rufo	Rufous Wren	CE	V2, V4, E2, Pe2	C4,C5,B3	
Cinnycerthia olivascens	Cucarachero Marr?n	Sharpe's Wren	CE	E2, Pe2	B3,B6,B7,B8,C3,C4,C5	49, 71, 123, 142 
Polioptila schistaceigula	Curruca Pizarra	Slate-throated Gnatcatcher	CE	P, E1	A2,A3	
Myadestes coloratus	Solitario Enmascarado	Varied Solitaire	II	P	B9	
Entomodestes coracinus	Solitario Negro	Black Solitaire	CE	E1	A3,B3	
Turdus obsoletus	Mirla Selv?tica	Pale-vented Thrush	CE	Cr, P, E1, E2	A2,A3,A5,B3,B6,B7	
Turdus fulviventris	Mirla Colorada	Chestnut-bellied Thrush	CE	E2, V2, V4, Pe2	B2,B6,B8a,C2,C4, C5	8, 49, 122
Paroaria nigrogenis	Cardenal Enmascarado	Masked Cardinal	EI	V	A7	44
Ramphocelus dimidiatus	Asoma Terciopelo	Crimson-backed Tanager	CE	V2, V3, P	A1,A2,A4,A5,A6,B1,B2,B3a,B4,B5,B6, B7	
Bangsia rothschildi	Bangsia Pechidorada	Golden-chested Tanager	CE	E1	A3	
Bangsia edwardsi	Bangsia Cariazul	Moss-backed Tanager	CE	E1	A3,B3	
Anisognathus notabilis	Clarinero del Pac?fico	Grass-green Tanager	CE	E1	A3,B3	
Iridosornis porphyrocephalus	Musguerito Gargantilla	Purplish-mantled Tanager	CE	E2	B3,B4a,B5,C3,C4	
Chlorochrysa phoenicotis	Clorocrisa Esmeralda	Glistening-green Tanager	CE	E1	B3	
Tangara palmeri	T?ngara Platinada	Gray-and-gold Tanager	CE	E1, P	A3	
Tangara vitriolina	T?ngara Rastrojera	Scrub Tanager	CE	E2	A4,A5,B3a,B4,B6, B7	
Tangara rufigula	T?ngara Barbirrufa	Rufous-throated Tanager	CE	E1	A3,B3	
Tangara labradorides	T?ngara Verde-Plata	Metallic-green Tanager	CE	E2, Pe2	B3,B4,B5,B6,B7,B8a,A3	
Tangara johannae	T?ngara Bigotuda	Blue-whiskered Tanager	CE	E1	A3	
Dacnis viguieri	Dacnis Aguamarina	Viridian Dacnis	CE	P	A2	
Dacnis berlepschi	Dacnis Pechirroja	Scarlet-breasted Dacnis	II	E1	A3	19
Heterospingus xanthopygius	Chambergo Cuernirrojo	Scarlet-browed Tanager	CE	E1, P	A2,A3	
Chrysothlypis salmoni	Chocosito Escarlata	Scarlet-and-white Tanager	CE	E1	A2,A3	
Conirostrum rufum	Conirostro Rufo	Rufous-browed Conebill	CE	V4	C1,C5	
Diglossa indigotica	Diglosa Chocoana	Indigo Flowerpiercer	CE	E1	B3	
Urothraupis stolzmanni	Montero Paramuno	Black-backed Bush Tanager	CE	E2	C4	
Saltator atripennis	Salt?tor Alinegro	Black-winged Saltator	CE	E1	B3,B4a,B4b,B5,B7	
Saltator cinctus	Salt?tor Collarejo	Masked Saltator	EI	E2, Pe2	C4,C5	
Arremonops tocuyensis	Pinz?n guajiro	Tocuyo Sparrow	EI	V1	A1a	
Arremon schlegeli	Pinzon Alidorado	Golden-winged Sparrow	CE	V1, V2, V3, V6	A1,B1,B2	15, 49, 91
Arremon atricapillus	Pinz?n Cabecinegro	Black-Headed Brush-Finch	CE	V2, V4	A2,B4a,B5,B7,B8a,B9	17
Arremon perijanus	Pinz?n del Perija	Perija Brush-Finch	CE	V2	B2,C2	15, 17
Oreothraupis arremonops	Gorri?n Tangarino	Tanager Finch	CE	E1	B3,C3	
Atlapetes albofrenatus	Atlapetes Bigotudo	Moustached Brush-Finch	CE	V4	B7,B8a,C5	
Atlapetes pallidinucha	Atlapetes Cabeciblanco	Pale-naped Brush-Finch	CE	E2, Pe2, V4	C4,C5	
Chlorospingus tacarcunae	Montero de Tacarcuna	Tacarcuna Bush-Tanager	II	P	B9	144
Chlorospingus semifuscus	Montero Gris?ceo	Dusky Bush-Tanager	CE	E1	B3,C3	
Chlorospingus flavovirens	Montero Verdeamarillo	Yellow-green Bush-Tanager	CE	E1	A3	
Piranga rubriceps	Piranga Cabecirroja	Red-hooded Tanager	EI	E2, Pe2	C3,C4,C5	48, 123
Chlorothraupis olivacea	Guayabero Oliv?ceo	Lemon-spectacled Tanager	CE	P, E1	A2,A3,B3,B5	
Chlorothraupis stolzmanni	Guayabero Ocre	Ochre-breasted Tanager	CE	E1	A3,B3	
Myioborus ornatus	Abanico Cariblanco	Golden-fronted Redstart	CE	V4	C3,C4,C5	
Basileuterus cinereicollis	Ara?ero Pechigris	Gray-throated Warbler	CE	V2, V4	B2,B7,B8a	
Basileuterus ignotus	Ara?ero del Pirr?	Pirre Warbler	CE	P	B9	
Psarocolius guatimozinus	Orop?ndola Negra	Black Oropendola	CE	P	A2	
Carduelis spinescens	Jilguero Andino	Andean Siskin	CE	V2, V4, E2	B1,B2,B4a,B4b,B5,B6,B8,C2,C3,C4,C5	
Euphonia fulvicrissa	Eufonia Fulva	Fulvous-vented Euphonia	CE	P, E1	A2,A3,A6	
Chlorophonia flavirostris	Clorofonia Collareja	Yellow-collared Chlorophonia	CE	P, E1	A3,B3	
Icterus leucopteryx	Turpial de Jamaica	Jamaican Orial	CEa	Ca	A9	7, 89, 109
Penelope perspicax	Pava Caucana	Cauca Guan	E		B4	
Ortalis garrula	Guacharaca Caribe?a	Chestnut-winged Chachalaca	E		A1,A2	
Ortalis columbiana	Guacharaca Colombiana	Colombian Chachalaca	E		B7,B5	49
Crax alberti	Pav?n Colombiano	Blue-billed Curassow	E		A1,A2	
