gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4055583434	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0529	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Tolmomyias	Tolmomyias flaviventris		SPECIES	Tolmomyias flaviventris (Wied-Neuwied, 1831)	Tolmomyias flaviventris	(Wied-Neuwied, 1831)	CO	Los Alpes	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-03T00:00:00	3	8	2022	2482874	2482874	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00529			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.482Z		
4055583433	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:P31E-12	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Micropholis	Micropholis guyanensis		SPECIES	Micropholis guyanensis (A.DC.) Pierre	Micropholis guyanensis	(A.DC.) Pierre	CO		Antioquia	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	7.684248	-74.905448			58.0	0.0			2022-07-15T00:00:00	15	7	2022	5333948	5333948	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)			P31E-12			CC_BY_NC_4_0		Edwin Ibarra			2023-03-15T15:17:36.508Z		
4055583432	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0530	Animalia	Chordata	Aves	Falconiformes	Falconidae	Milvago	Milvago chimachima		SPECIES	Milvago chimachima (Vieillot, 1816)	Milvago chimachima	(Vieillot, 1816)	CO	Los Alpes	Córdoba	PRESENT	7	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-03T00:00:00	3	8	2022	2481066	2481066	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00530			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.481Z		
4055583431	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0531	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Thraupis	Thraupis episcopus		SPECIES	Thraupis episcopus (Linnaeus, 1766)	Thraupis episcopus	(Linnaeus, 1766)	CO	Los Alpes	Córdoba	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-04T00:00:00	4	8	2022	2488602	2488602	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00531			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.479Z		
4055583430	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0538	Animalia	Chordata	Aves	Passeriformes	Thraupidae	Volatinia	Volatinia jacarina		SPECIES	Volatinia jacarina (Linnaeus, 1766)	Volatinia jacarina	(Linnaeus, 1766)	CO	Los Alpes	Córdoba	PRESENT	7	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-04T00:00:00	4	8	2022	2491741	2491741	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00538			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.481Z		
4055583429	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0539	Animalia	Chordata	Aves	Galliformes	Odontophoridae	Colinus	Colinus cristatus		SPECIES	Colinus cristatus (Linnaeus, 1766)	Colinus cristatus	(Linnaeus, 1766)	CO	Los Alpes	Córdoba	PRESENT	5	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-04T00:00:00	4	8	2022	5228112	5228112	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00539			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.480Z		
4055583428	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0536	Animalia	Chordata	Aves	Falconiformes	Falconidae	Herpetotheres	Herpetotheres cachinnans		SPECIES	Herpetotheres cachinnans (Linnaeus, 1758)	Herpetotheres cachinnans	(Linnaeus, 1758)	CO	Los Alpes	Córdoba	PRESENT	3	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-04T00:00:00	4	8	2022	2481071	2481071	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00536			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.482Z		
4055583427	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0537	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Machetornis	Machetornis rixosa		SPECIES	Machetornis rixosa (Vieillot, 1819)	Machetornis rixosa	(Vieillot, 1819)	CO	Los Alpes	Córdoba	PRESENT	3	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-04T00:00:00	4	8	2022	2482934	2482934	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00537			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.480Z		
4055583426	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0534	Animalia	Chordata	Aves	Passeriformes	Icteridae	Icterus	Icterus auricapillus		SPECIES	Icterus auricapillus Cassin, 1848	Icterus auricapillus	Cassin, 1848	CO	Los Alpes	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-04T00:00:00	4	8	2022	5229923	5229923	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00534			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.480Z		
4055583425	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0535	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Todirostrum	Todirostrum nigriceps		SPECIES	Todirostrum nigriceps P.L.Sclater, 1855	Todirostrum nigriceps	P.L.Sclater, 1855	CO	Los Alpes	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-04T00:00:00	4	8	2022	2483261	2483261	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00535			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.480Z		
4055583424	26776d49-2110-4201-b768-53e661fc2135	Promigas:Jobo-Sebastopol:WR0532	Animalia	Chordata	Aves	Piciformes	Picidae	Dryocopus	Dryocopus lineatus		SPECIES	Dryocopus lineatus (Linnaeus, 1766)	Dryocopus lineatus	(Linnaeus, 1766)	CO	Los Alpes	Córdoba	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	8.488565	-75.364146			39.0	14.0			2022-08-04T00:00:00	4	8	2022	5228831	5228831	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)	MCUB		WilmerRamirez00532			CC_BY_NC_4_0		Wilmer Ramirez			2023-03-15T15:17:36.481Z		
