gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3886759383	e64db70b-e7d9-4c3f-973a-458cc04949a8	Promigas:Jobomajaguas:047-22-01:0019	Animalia	Chordata		Characiformes	Bryconidae	Brycon			GENUS	Brycon Müller & Troschel, 1844	Brycon	Müller & Troschel, 1844	CO	Promigás campo Jobomajaguas, arroyo Caracolí aguas arriba	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.084786	-75.414528			96.0				2022-01-13T00:00:00	13	1	2022	2353451		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)			047-22-01	ECOSAM S.A.S.		CC_BY_NC_4_0		Andrés Valencia			2023-01-25T12:22:25.601Z		
3886759382	e64db70b-e7d9-4c3f-973a-458cc04949a8	Promigas:Jobomajaguas:047-22-01:0018	Animalia	Chordata		Siluriformes	Callichthyidae	Callichthys			GENUS	Callichthys Scopoli, 1777	Callichthys	Scopoli, 1777	CO	Promigás campo Jobomajaguas, arroyo Caracolí aguas arriba	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.084786	-75.414528			96.0				2022-01-13T00:00:00	13	1	2022	3239152		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)			047-22-01	ECOSAM S.A.S.		CC_BY_NC_4_0		Andrés Valencia			2023-01-25T12:22:25.601Z		
3886759381	e64db70b-e7d9-4c3f-973a-458cc04949a8	Promigas:Jobomajaguas:047-22-01:0012	Animalia	Nematoda							PHYLUM	Nematoda	Nematoda		CO	Promigás campo Jobomajaguas, arroyo Caracolí aguas arriba	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.084786	-75.414528			96.0				2022-01-13T00:00:00	13	1	2022	5967481		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)			047-22-01	ECOSAM S.A.S.		CC_BY_NC_4_0		Andrés Valencia			2023-01-25T12:22:25.600Z		
3886759380	e64db70b-e7d9-4c3f-973a-458cc04949a8	Promigas:Jobomajaguas:047-22-01:0013	Animalia	Gastrotricha			Chaetonotidae	Chaetonotus			GENUS	Chaetonotus Ehrenberg, 1830	Chaetonotus	Ehrenberg, 1830	CO	Promigás campo Jobomajaguas, arroyo Caracolí aguas arriba	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.084786	-75.414528			96.0				2022-01-13T00:00:00	13	1	2022	2254636		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)			047-22-01	ECOSAM S.A.S.		CC_BY_NC_4_0		Andrés Valencia			2023-01-25T12:22:25.600Z		
3886759379	e64db70b-e7d9-4c3f-973a-458cc04949a8	Promigas:Jobomajaguas:047-22-01:0014	Protozoa	Euglenozoa	Euglenoidea	Euglenida	Phacidae	Lepocinclis			GENUS	Lepocinclis Perty, 1849	Lepocinclis	Perty, 1849	CO	Promigás campo Jobomajaguas, arroyo Caracolí aguas arriba	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.084786	-75.414528			96.0				2022-01-13T00:00:00	13	1	2022	3208529		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)			047-22-01	ECOSAM S.A.S.		CC_BY_NC_4_0		Andrés Valencia			2023-01-25T12:22:25.600Z		
3886759378	e64db70b-e7d9-4c3f-973a-458cc04949a8	Promigas:Jobomajaguas:047-22-01:0016	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Spirulinaceae	Spirulina			GENUS	Spirulina Turpin ex Gomont, 1892	Spirulina	Turpin ex Gomont, 1892	CO	Promigás campo Jobomajaguas, arroyo Caracolí aguas arriba	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.084786	-75.414528			96.0				2022-01-13T00:00:00	13	1	2022	8996763		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)			047-22-01	ECOSAM S.A.S.		CC_BY_NC_4_0		Andrés Valencia			2023-01-25T12:22:25.600Z		
3886759377	e64db70b-e7d9-4c3f-973a-458cc04949a8	Promigas:Jobomajaguas:047-22-01:0017	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Oscillatoriaceae	Oscillatoria			GENUS	Oscillatoria Vaucher ex Gomont, 1892	Oscillatoria	Vaucher ex Gomont, 1892	CO	Promigás campo Jobomajaguas, arroyo Caracolí aguas arriba	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.084786	-75.414528			96.0				2022-01-13T00:00:00	13	1	2022	7679569		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)			047-22-01	ECOSAM S.A.S.		CC_BY_NC_4_0		Andrés Valencia			2023-01-25T12:22:25.600Z		
3886759376	e64db70b-e7d9-4c3f-973a-458cc04949a8	Promigas:Jobomajaguas:047-22-01:0011	Animalia	Rotifera	Eurotatoria	Ploima	Lepadellidae	Colurella			GENUS	Colurella Bory De St.Vincent, 1824	Colurella	Bory De St.Vincent, 1824	CO	Promigás campo Jobomajaguas, arroyo Caracolí aguas arriba	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.084786	-75.414528			96.0				2022-01-13T00:00:00	13	1	2022	1001346		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)			047-22-01	ECOSAM S.A.S.		CC_BY_NC_4_0		Andrés Valencia			2023-01-25T12:22:25.600Z		
3886759375	e64db70b-e7d9-4c3f-973a-458cc04949a8	Promigas:Jobomajaguas:047-22-01:0015	Protozoa	Euglenozoa	Euglenoidea	Euglenida	Euglenaceae	Euglena			GENUS	Euglena Ehrenberg, 1830	Euglena	Ehrenberg, 1830	CO	Promigás campo Jobomajaguas, arroyo Caracolí aguas arriba	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.084786	-75.414528			96.0				2022-01-13T00:00:00	13	1	2022	7446037		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)			047-22-01	ECOSAM S.A.S.		CC_BY_NC_4_0		Andrés Valencia			2023-01-25T12:22:25.600Z		
3886759374	e64db70b-e7d9-4c3f-973a-458cc04949a8	Promigas:Jobomajaguas:047-22-01:0007	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia			GENUS	Nitzschia A.H.Hassall, 1845	Nitzschia	A.H.Hassall, 1845	CO	Promigás campo Jobomajaguas, arroyo Caracolí aguas arriba	Córdoba	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.084786	-75.414528			96.0				2022-01-13T00:00:00	13	1	2022	2628185		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)			047-22-01	ECOSAM S.A.S.		CC_BY_NC_4_0		Andrés Valencia			2023-01-25T12:22:25.600Z		
