gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2863946731	cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	Promigas:San Mateo-Mamonal:2019-EP048	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Graphidaceae	Graphis	Graphis scripta		SPECIES	Graphis scripta (L.) Ach.	Graphis scripta	(L.) Ach.	CO	Hacienda Filadelfia	Sucre	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.626481	-75.42792			44.0	0.0			2019-11-09T00:00:00	9	11	2019	7249709	7249709	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Alejandra Suárez		CC_BY_4_0		Gina M. Rodriguez M.			2023-01-25T09:12:41.402Z		
2863946730	cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	Promigas:San Mateo-Mamonal:2019-EP169	Plantae	Bryophyta	Bryopsida	Fissidentales	Fissidentaceae	Fissidens			GENUS	Fissidens Hedwig, 1801	Fissidens	Hedw.	CO	Hacienda Filadelfia	Sucre	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.626794	-75.424457			42.0	0.0			2019-11-10T00:00:00	10	11	2019	2673216		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Mery Helen Tijaro		CC_BY_4_0		Gina M. Rodriguez M.			2023-01-25T09:12:41.402Z		
2863946729	cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	Promigas:San Mateo-Mamonal:2019-EP049	Fungi	Ascomycota	Arthoniomycetes	Arthoniales	Opegraphaceae	Cresponea	Cresponea flava		SPECIES	Cresponea flava (Vain.) Egea & Torrente	Cresponea flava	(Vain.) Egea & Torrente	CO	Hacienda Filadelfia	Sucre	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.626481	-75.42792			44.0	0.0			2019-11-09T00:00:00	9	11	2019	3546672	3546672	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Alejandra Suárez		CC_BY_4_0		Gina M. Rodriguez M.			2023-01-25T09:12:41.401Z		
2863946728	cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	Promigas:San Mateo-Mamonal:2019-EP046	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Physcia	Physcia erumpens		SPECIES	Physcia erumpens Moberg	Physcia erumpens	Moberg	CO	Hacienda Filadelfia	Sucre	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.626481	-75.42792			44.0	0.0			2019-11-09T00:00:00	9	11	2019	2608927	2608927	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Alejandra Suárez		CC_BY_4_0		Gina M. Rodriguez M.			2023-01-25T09:12:41.400Z		
2863946727	cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	Promigas:San Mateo-Mamonal:2019-EP167	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae	Lejeunea	Lejeunea trinitensis		SPECIES	Lejeunea trinitensis Lindenb.	Lejeunea trinitensis	Lindenb.	CO	Hacienda Filadelfia	Sucre	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.626139	-75.424914			43.0	0.0			2019-11-10T00:00:00	10	11	2019	7443177	7443177	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)	UDBC	C0026327		Mery Helen Tijaro		CC_BY_4_0		Gina M. Rodriguez M.			2023-01-25T09:12:41.400Z		
2863946726	cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	Promigas:San Mateo-Mamonal:2019-EP047	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Physcia	Physcia erumpens		SPECIES	Physcia erumpens Moberg	Physcia erumpens	Moberg	CO	Hacienda Filadelfia	Sucre	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.626481	-75.42792			44.0	0.0			2019-11-09T00:00:00	9	11	2019	2608927	2608927	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Alejandra Suárez		CC_BY_4_0		Gina M. Rodriguez M.			2023-01-25T09:12:41.399Z		
2863946725	cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	Promigas:San Mateo-Mamonal:2019-EP168	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae	Lejeunea	Lejeunea trinitensis		SPECIES	Lejeunea trinitensis Lindenb.	Lejeunea trinitensis	Lindenb.	CO	Hacienda Filadelfia	Sucre	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.626139	-75.424914			43.0	0.0			2019-11-10T00:00:00	10	11	2019	7443177	7443177	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Mery Helen Tijaro		CC_BY_4_0		Gina M. Rodriguez M.			2023-01-25T09:12:41.398Z		
2863946724	cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	Promigas:San Mateo-Mamonal:2019-EP044	Fungi	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Herpothallon			GENUS	Herpothallon Tobler	Herpothallon	Tobler	CO	Hacienda Filadelfia	Sucre	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.626481	-75.42792			44.0	0.0			2019-11-09T00:00:00	9	11	2019	2592639		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Alejandra Suárez		CC_BY_4_0		Gina M. Rodriguez M.			2023-01-25T09:12:41.398Z		
2863946723	cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	Promigas:San Mateo-Mamonal:2019-EP165	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae	Lejeunea	Lejeunea trinitensis		SPECIES	Lejeunea trinitensis Lindenb.	Lejeunea trinitensis	Lindenb.	CO	Hacienda Filadelfia	Sucre	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.623212	-75.426276			45.0	0.0			2019-11-10T00:00:00	10	11	2019	7443177	7443177	HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Mery Helen Tijaro		CC_BY_4_0		Gina M. Rodriguez M.			2023-01-25T09:12:41.397Z		
2863946722	cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	Promigas:San Mateo-Mamonal:2019-EP045	Fungi	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Herpothallon			GENUS	Herpothallon Tobler	Herpothallon	Tobler	CO	Hacienda Filadelfia	Sucre	PRESENT		dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.626481	-75.42792			44.0	0.0			2019-11-09T00:00:00	9	11	2019	2592639		HUMAN_OBSERVATION	PROMIGAS S.A. E.S.P. (Promigas)				Alejandra Suárez		CC_BY_4_0		Gina M. Rodriguez M.			2023-01-25T09:12:41.397Z		
